ID,Legacy ID,First Name,Last Name,Department,Average Rating,Number of Ratings,Average Difficulty,Would Take Again %,School Name,School ID,RMP URL
VGVhY2hlci0yMzQwMTM3,2340137,Anna,Jurkevics,Political Science,4.5,68,3.7,83.8,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2340137
VGVhY2hlci0yNDQzODQw,2443840,Kaori,Tanaka,Japanese,5.0,33,3.1,100.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2443840
VGVhY2hlci05Mjc4Mg==,92782,Anish,Sayani,Education,4.9,22,3.1,90.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/92782
VGVhY2hlci0yMzA2MDAw,2306000,Jennifer,Cowe,Writing,4.3,136,3.4,77.9,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2306000
VGVhY2hlci0zMDIxMzM4,3021338,Jay,Hosking,Psychology,4.7,23,3.2,95.7,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/3021338
VGVhY2hlci0yMjUyOTIy,2252922,Pi-Hua,Lin,Asian Studies,4.1,10,2.3,80.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2252922
VGVhY2hlci0yMjM4MDg0,2238084,Grace,Truong,Psychology,3.2,127,3.7,50.4,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2238084
VGVhY2hlci0yOTgzMzc1,2983375,Candace,Necyk,Pharmacy,1.0,22,4.9,4.5,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2983375
VGVhY2hlci0yODIyMjI2,2822226,Aryan,Karimi,Sociology,2.7,14,3.4,42.9,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2822226
VGVhY2hlci0yNjIxNzgx,2621781,Sun Ryung,Park,Political Science,1.0,8,4.6,0.0,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/2621781
VGVhY2hlci0xMTAwMTk=,110019,Tiffany,Potter,English,4.4,124,3.5,76.2,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/110019
VGVhY2hlci0zMjA0OTA=,320490,Scott,Sinclair,Business,4.6,97,3.5,94.3,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/320490
VGVhY2hlci0xOTI1MTI2,1925126,Wade,Davis,Anthropology,3.9,92,2.6,76.7,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/1925126
VGVhY2hlci0xMjU4ODc2,1258876,Sebastian,Prange,History,4.4,69,3.3,83.3,University of British Columbia,U2Nob29sLTE0MTM=,https://www.ratemyprofessors.com/professor/1258876
